@RELATION data/trained_models/paaSVC1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {snore,non-snore}

@DATA
0.023717,0.046836,2.750932,0.200403,0.291527,0.062656,0.019613,0.003124,-26.901996,2.385096,0.566921,0.562624,0.307608,0.289818,0.235084,0.235273,0.102243,0.130065,0.074118,0.050378,0.003226,0.000989,0.000115,0.074358,0.000484,0.026332,0.000314,0.315555,0.000066,0.000219,0.001340,0.011993,0.000137,0.092344,0.015610,0.028266,0.220231,0.023386,0.011966,0.035864,0.013507,0.001510,0.947992,0.145577,0.193801,0.129654,0.129268,0.123686,0.131207,0.131336,0.110149,0.115337,0.118541,0.111538,0.097605,0.001084,0.000122,0.062833,0.000480,0.025123,0.000341,0.107428,0.000067,0.000252,0.001433,0.011849,0.000144,0.022739,snore
0.030339,0.029289,2.747371,0.214221,0.296303,0.085105,0.015938,0.003434,-27.622527,2.402037,0.610739,0.550061,0.329911,0.276860,0.267372,0.269016,0.124423,0.132906,0.101537,0.091975,0.029733,0.001022,0.000133,0.071179,0.000522,0.034799,0.000319,0.267717,0.000064,0.000285,0.001533,0.029635,0.000140,0.081263,0.017260,0.018196,0.206160,0.022923,0.010626,0.042463,0.010659,0.001456,0.852109,0.159955,0.189442,0.135656,0.142527,0.134957,0.135277,0.141405,0.124466,0.125651,0.117205,0.112520,0.116574,0.001104,0.000132,0.058823,0.000527,0.026711,0.000353,0.113149,0.000057,0.000324,0.001801,0.027774,0.000145,0.023736,snore
0.035601,0.039365,2.739335,0.238277,0.307624,0.104391,0.013879,0.003283,-27.179482,2.189205,0.647230,0.581556,0.319998,0.240912,0.202406,0.236915,0.147107,0.162423,0.116968,0.086917,0.052202,0.000986,0.000119,0.081898,0.000389,0.033751,0.000343,0.282490,0.000063,0.000260,0.001276,0.013602,0.000156,0.084795,0.020826,0.025718,0.226556,0.025666,0.009731,0.054525,0.009784,0.001643,0.736656,0.180377,0.193390,0.139567,0.129450,0.130670,0.127031,0.132156,0.128102,0.123564,0.109151,0.119488,0.118198,0.001141,0.000125,0.069204,0.000436,0.028902,0.000398,0.109794,0.000063,0.000312,0.001263,0.013768,0.000177,0.023282,snore
0.059241,0.010606,2.768907,0.273081,0.314664,0.197265,0.008507,0.005025,-28.308840,2.143904,0.644406,0.586293,0.341274,0.271504,0.224620,0.240907,0.143809,0.150710,0.114083,0.096106,0.058611,0.001298,0.000232,0.084611,0.000842,0.050076,0.000581,0.176378,0.000121,0.000861,0.003267,0.040580,0.000422,0.062900,0.023812,0.005966,0.197810,0.022192,0.006285,0.083344,0.004748,0.002327,0.567506,0.191689,0.155325,0.131519,0.127209,0.135499,0.124152,0.130278,0.127731,0.130411,0.124297,0.110408,0.123203,0.001137,0.000216,0.059866,0.000833,0.032778,0.000578,0.093709,0.000103,0.000995,0.003104,0.028111,0.000451,0.018519,snore
0.022625,0.055071,2.853986,0.191906,0.284906,0.063036,0.012521,0.003902,-26.818212,2.489784,0.644492,0.652773,0.357921,0.279206,0.220376,0.250620,0.120097,0.137965,0.106247,0.072645,0.037436,0.001015,0.000121,0.071949,0.000544,0.022682,0.000612,0.284378,0.000062,0.000243,0.002814,0.032054,0.000132,0.084152,0.012726,0.032223,0.205847,0.026238,0.014789,0.031766,0.008198,0.001175,1.111114,0.214122,0.231223,0.144736,0.127263,0.116659,0.125885,0.119066,0.114578,0.113666,0.112146,0.099585,0.106959,0.000920,0.000114,0.060238,0.000519,0.021442,0.000636,0.088669,0.000057,0.000243,0.003792,0.018612,0.000134,0.018916,snore
0.026898,0.049171,2.746155,0.205606,0.294518,0.066053,0.016756,0.003266,-27.194219,2.295946,0.572504,0.579135,0.318143,0.243762,0.214046,0.232102,0.130312,0.140223,0.115995,0.086731,0.038720,0.000643,0.000101,0.102253,0.000366,0.027616,0.000548,0.273808,0.000052,0.000227,0.001660,0.016032,0.000155,0.087105,0.014947,0.027738,0.214490,0.024201,0.012319,0.031802,0.012337,0.001224,0.987632,0.213503,0.224893,0.164330,0.143333,0.133070,0.129046,0.130284,0.109964,0.109535,0.115159,0.115427,0.109207,0.000664,0.000108,0.061499,0.000375,0.026278,0.000821,0.086747,0.000054,0.000310,0.002799,0.014149,0.000203,0.020118,snore
0.025059,0.034455,2.714073,0.201896,0.292565,0.061242,0.020594,0.002964,-27.700739,2.328765,0.580774,0.565869,0.343230,0.288714,0.202551,0.215126,0.123898,0.160868,0.119414,0.083328,0.051028,0.000688,0.000100,0.118123,0.000416,0.022934,0.000300,0.286947,0.000059,0.000193,0.001329,0.010398,0.000118,0.090568,0.017553,0.022279,0.224517,0.024493,0.012997,0.032869,0.016073,0.001351,1.035730,0.159836,0.196904,0.138175,0.134946,0.123070,0.128388,0.133911,0.123199,0.113346,0.115822,0.112815,0.112039,0.000862,0.000112,0.085392,0.000471,0.021342,0.000355,0.107294,0.000065,0.000213,0.001362,0.010630,0.000130,0.019810,snore
0.043310,0.030311,2.735660,0.249293,0.311202,0.123260,0.013117,0.003468,-27.898906,2.149579,0.672476,0.587867,0.374214,0.300649,0.244219,0.250065,0.158566,0.160680,0.130559,0.093788,0.060853,0.000761,0.000113,0.077291,0.000413,0.038514,0.000284,0.276440,0.000065,0.000229,0.001577,0.012144,0.000122,0.083310,0.023680,0.022936,0.235461,0.025184,0.008196,0.064397,0.009913,0.001925,0.667662,0.163060,0.188041,0.131886,0.134825,0.119676,0.136166,0.133601,0.131438,0.131755,0.119631,0.122512,0.116096,0.000879,0.000113,0.067818,0.000449,0.029360,0.000314,0.110904,0.000061,0.000242,0.001731,0.013339,0.000120,0.023467,snore
0.028103,0.031230,2.717930,0.211304,0.296765,0.076797,0.015875,0.003490,-27.354906,2.336644,0.585499,0.592515,0.364988,0.291788,0.241359,0.250876,0.131562,0.137162,0.109555,0.086217,0.038855,0.000940,0.000130,0.095506,0.000489,0.030729,0.000349,0.270594,0.000065,0.000224,0.001619,0.019182,0.000136,0.082979,0.016845,0.017307,0.232325,0.024420,0.012103,0.040451,0.010359,0.001420,0.955791,0.153884,0.195756,0.136132,0.141355,0.125714,0.133496,0.134244,0.123236,0.120711,0.123470,0.108556,0.110725,0.001030,0.000135,0.071693,0.000547,0.025908,0.000357,0.102571,0.000063,0.000242,0.001533,0.017769,0.000144,0.021829,snore
0.028302,0.026732,2.738473,0.213852,0.298783,0.070239,0.015718,0.003080,-28.078960,2.314268,0.546777,0.539368,0.301065,0.230232,0.242270,0.270692,0.133056,0.141526,0.124605,0.103845,0.065603,0.000582,0.000107,0.073445,0.000373,0.024556,0.000267,0.320410,0.000053,0.000190,0.000976,0.015320,0.000105,0.093717,0.016155,0.016618,0.215476,0.024235,0.011212,0.035467,0.010923,0.001098,0.835403,0.152624,0.177986,0.130927,0.128044,0.125436,0.138589,0.139211,0.121850,0.118136,0.121048,0.118350,0.115331,0.000612,0.000112,0.065702,0.000393,0.023238,0.000269,0.100630,0.000051,0.000199,0.000968,0.014162,0.000110,0.021617,snore
